date,dc_id,sku_id,leadtime_actual,vlt_pred,recent_mean_7,recent_mean_30,recent_std_30,recent_sum_7,recent_sum_30,demand_forecast_sum,future_demand_sum,demand_source,current_inv,dc_capacity,factory_inv,transport_cost,pt_box,box_volume,push_lb,push_ub,target_replenishment,is_order_day,optimal_replenishment_pallet,optimal_replenishment_box,arrival_qty_box,ending_inventory_box,stockout_qty_box,holding_cost,stockout_cost,unit_transport_cost,target_replenishment_pallet,target_replenishment_box
2019-01-04,DC001,SKU058,2.0,2.0,10.285714285714286,13.4,20.650423724466282,72.0,402.0,22.439999999999998,0.0,rolling_proxy,15.0,181978.71,8040.0,224.0,36.0,2.0,159000.0,161000.0,72.0,1,2,72.0,0.0,0.0,48.0,3.36,336.0,224.0,2.0,72.0
2019-01-04,DC001,SKU060,3.0,3.0,1.0,6.133333333333334,21.566537866694212,7.0,184.0,7.62,0.0,rolling_proxy,140.0,181978.71,10540.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,135.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU062,1.0,1.0,776.4285714285714,697.4333333333333,412.16458551840134,5435.0,20923.0,752.73,240.0,rolling_proxy,7381.0,181978.71,36247.0,224.0,50.0,1.2,159000.0,161000.0,0.0,1,0,0.0,0.0,2905.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU063,2.0,2.0,41.57142857142857,45.03333333333333,53.665310541871975,291.0,1351.0,85.22,106.0,rolling_proxy,0.0,181978.71,5824.0,224.0,50.0,1.2,159000.0,161000.0,50.0,1,1,50.0,0.0,0.0,48.0,3.36,336.0,224.0,1.0,50.0
2019-01-04,DC001,SKU068,6.0,6.0,85.0,77.96666666666667,59.59725012298991,595.0,2339.0,497.3399999999999,438.0,rolling_proxy,782.0,181978.71,10952.0,224.0,80.0,0.852,159000.0,161000.0,80.0,1,1,80.0,0.0,457.0,0.0,3.36,336.0,224.0,1.0,80.0
2019-01-04,DC001,SKU069,2.0,2.0,303.42857142857144,224.86666666666667,164.07736657510756,2124.0,6746.0,559.72,200.0,rolling_proxy,1958.0,181978.71,13557.0,224.0,52.0,0.96,159000.0,161000.0,1456.0,1,28,1456.0,0.0,281.0,0.0,3.36,336.0,224.0,28.0,1456.0
2019-01-04,DC001,SKU070,3.0,3.0,8.428571428571429,10.433333333333334,11.692400190817207,59.0,313.0,27.089999999999996,37.0,rolling_proxy,0.0,181978.71,6908.0,224.0,52.0,0.96,159000.0,161000.0,52.0,1,1,52.0,0.0,0.0,6.0,3.36,336.0,224.0,1.0,52.0
2019-01-04,DC001,SKU071,4.0,4.0,3.7142857142857144,1.8,3.4389921004077153,26.0,54.0,12.56,13.0,rolling_proxy,0.0,181978.71,3558.0,224.0,50.0,1.2,159000.0,161000.0,0.0,1,0,0.0,0.0,0.0,-0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC002,SKU001,1.0,1.0,1.7142857142857142,1.6333333333333333,3.2298950791352694,12.0,49.0,1.69,0.0,rolling_proxy,72.0,304664.05,1020.0,198.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,56.0,0.0,2.97,297.0,198.0,0.0,0.0
2019-01-04,DC002,SKU002,3.0,3.0,20.142857142857142,14.333333333333334,22.483080057876613,141.0,430.0,55.199999999999996,50.0,rolling_proxy,0.0,304664.05,0.0,198.0,52.0,0.96,159000.0,161000.0,52.0,1,1,52.0,0.0,0.0,17.0,2.97,297.0,198.0,1.0,52.0
